"customer_id","first_name","last_name","artist_name","total_spent"
1,"Luís                                              ","Gonçalves                                         ","AC/DC",7.920000000000001
1,"Luís                                              ","Gonçalves                                         ","Aerosmith",2.9699999999999998
1,"Luís                                              ","Gonçalves                                         ","Alanis Morissette",1.98
1,"Luís                                              ","Gonçalves                                         ","Amy Winehouse",1.98
1,"Luís                                              ","Gonçalves                                         ","Apocalyptica",0.99
1,"Luís                                              ","Gonçalves                                         ","Audioslave",1.98
1,"Luís                                              ","Gonçalves                                         ","Black Sabbath",0.99
1,"Luís                                              ","Gonçalves                                         ","Caetano Veloso",0.99
1,"Luís                                              ","Gonçalves                                         ","Calexico",0.99
1,"Luís                                              ","Gonçalves                                         ","Def Leppard",0.99
1,"Luís                                              ","Gonçalves                                         ","Djavan",0.99
1,"Luís                                              ","Gonçalves                                         ","Faith No More",1.98
1,"Luís                                              ","Gonçalves                                         ","Foo Fighters",0.99
1,"Luís                                              ","Gonçalves                                         ","Frank Sinatra",0.99
1,"Luís                                              ","Gonçalves                                         ","Godsmack",0.99
1,"Luís                                              ","Gonçalves                                         ","Guns N' Roses",2.9699999999999998
1,"Luís                                              ","Gonçalves                                         ","Iron Maiden",1.98
1,"Luís                                              ","Gonçalves                                         ","JET",12.870000000000001
1,"Luís                                              ","Gonçalves                                         ","Joe Satriani",0.99
1,"Luís                                              ","Gonçalves                                         ","Marisa Monte",1.98
1,"Luís                                              ","Gonçalves                                         ","Metallica",0.99
1,"Luís                                              ","Gonçalves                                         ","Miles Davis",2.9699999999999998
1,"Luís                                              ","Gonçalves                                         ","Mötley Crüe",0.99
1,"Luís                                              ","Gonçalves                                         ","Motörhead",0.99
1,"Luís                                              ","Gonçalves                                         ","Nirvana",0.99
1,"Luís                                              ","Gonçalves                                         ","Page & Plant",0.99
1,"Luís                                              ","Gonçalves                                         ","Pearl Jam",0.99
1,"Luís                                              ","Gonçalves                                         ","Pink Floyd",1.98
1,"Luís                                              ","Gonçalves                                         ","Queen",1.98
1,"Luís                                              ","Gonçalves                                         ","R.E.M.",0.99
1,"Luís                                              ","Gonçalves                                         ","Raimundos",0.99
1,"Luís                                              ","Gonçalves                                         ","Red Hot Chili Peppers",0.99
1,"Luís                                              ","Gonçalves                                         ","Rush",13.860000000000001
1,"Luís                                              ","Gonçalves                                         ","Santana",0.99
1,"Luís                                              ","Gonçalves                                         ","Scorpions",0.99
1,"Luís                                              ","Gonçalves                                         ","Stone Temple Pilots",0.99
1,"Luís                                              ","Gonçalves                                         ","System Of A Down",0.99
1,"Luís                                              ","Gonçalves                                         ","The Clash",0.99
1,"Luís                                              ","Gonçalves                                         ","The Cult",17.82
1,"Luís                                              ","Gonçalves                                         ","The Police",1.98
1,"Luís                                              ","Gonçalves                                         ","The Who",1.98
1,"Luís                                              ","Gonçalves                                         ","U2",1.98
1,"Luís                                              ","Gonçalves                                         ","Van Halen",0.99
1,"Luís                                              ","Gonçalves                                         ","Yo-Yo Ma",0.99
2,"Leonie                                            ","Köhler                                            ","AC/DC",0.99
2,"Leonie                                            ","Köhler                                            ","Alice In Chains",0.99
2,"Leonie                                            ","Köhler                                            ","Apocalyptica",0.99
2,"Leonie                                            ","Köhler                                            ","Audioslave",13.860000000000001
2,"Leonie                                            ","Köhler                                            ","Black Sabbath",0.99
2,"Leonie                                            ","Köhler                                            ","Buddy Guy",0.99
2,"Leonie                                            ","Köhler                                            ","Chico Buarque",0.99
2,"Leonie                                            ","Köhler                                            ","Chris Cornell",2.9699999999999998
2,"Leonie                                            ","Köhler                                            ","Deep Purple",0.99
2,"Leonie                                            ","Köhler                                            ","Eric Clapton",2.9699999999999998
2,"Leonie                                            ","Köhler                                            ","Faith No More",1.98
2,"Leonie                                            ","Köhler                                            ","Foo Fighters",0.99
2,"Leonie                                            ","Köhler                                            ","Frank Sinatra",0.99
2,"Leonie                                            ","Köhler                                            ","Gilberto Gil",0.99
2,"Leonie                                            ","Köhler                                            ","Godsmack",1.98
2,"Leonie                                            ","Köhler                                            ","Green Day",0.99
2,"Leonie                                            ","Köhler                                            ","Guns N' Roses",0.99
2,"Leonie                                            ","Köhler                                            ","House Of Pain",1.98
2,"Leonie                                            ","Köhler                                            ","Itzhak Perlman",0.99
2,"Leonie                                            ","Köhler                                            ","Judas Priest",0.99
2,"Leonie                                            ","Köhler                                            ","Kiss",2.9699999999999998
2,"Leonie                                            ","Köhler                                            ","Led Zeppelin",0.99
2,"Leonie                                            ","Köhler                                            ","Marillion",0.99
2,"Leonie                                            ","Köhler                                            ","Marvin Gaye",0.99
2,"Leonie                                            ","Köhler                                            ","Metallica",0.99
2,"Leonie                                            ","Köhler                                            ","Miles Davis",0.99
2,"Leonie                                            ","Köhler                                            ","Milton Nascimento",0.99
2,"Leonie                                            ","Köhler                                            ","Mötley Crüe",0.99
2,"Leonie                                            ","Köhler                                            ","Motörhead",0.99
2,"Leonie                                            ","Köhler                                            ","O Rappa",0.99
2,"Leonie                                            ","Köhler                                            ","Ozzy Osbourne",1.98
2,"Leonie                                            ","Köhler                                            ","Pearl Jam",2.9699999999999998
2,"Leonie                                            ","Köhler                                            ","Pink Floyd",1.98
2,"Leonie                                            ","Köhler                                            ","R.E.M.",0.99
2,"Leonie                                            ","Köhler                                            ","Red Hot Chili Peppers",0.99
2,"Leonie                                            ","Köhler                                            ","Scorpions",0.99
2,"Leonie                                            ","Köhler                                            ","Soundgarden",0.99
2,"Leonie                                            ","Köhler                                            ","Spyro Gyra",0.99
2,"Leonie                                            ","Köhler                                            ","System Of A Down",2.9699999999999998
2,"Leonie                                            ","Köhler                                            ","The Clash",2.9699999999999998
2,"Leonie                                            ","Köhler                                            ","The Doors",2.9699999999999998
2,"Leonie                                            ","Köhler                                            ","The Police",1.98
2,"Leonie                                            ","Köhler                                            ","The Rolling Stones",2.9699999999999998
2,"Leonie                                            ","Köhler                                            ","The Who",0.99
2,"Leonie                                            ","Köhler                                            ","U2",0.99
2,"Leonie                                            ","Köhler                                            ","UB40",0.99
2,"Leonie                                            ","Köhler                                            ","Van Halen",1.98
3,"François                                          ","Tremblay                                          ","Aerosmith",1.98
3,"François                                          ","Tremblay                                          ","Alanis Morissette",0.99
3,"François                                          ","Tremblay                                          ","Alice In Chains",0.99
3,"François                                          ","Tremblay                                          ","Apocalyptica",7.920000000000001
3,"François                                          ","Tremblay                                          ","Black Sabbath",3.96
3,"François                                          ","Tremblay                                          ","Buddy Guy",0.99
3,"François                                          ","Tremblay                                          ","Chico Buarque",0.99
3,"François                                          ","Tremblay                                          ","Def Leppard",0.99
3,"François                                          ","Tremblay                                          ","Eric Clapton",2.9699999999999998
3,"François                                          ","Tremblay                                          ","Foo Fighters",0.99
3,"François                                          ","Tremblay                                          ","Frank Sinatra",0.99
3,"François                                          ","Tremblay                                          ","Guns N' Roses",0.99
3,"François                                          ","Tremblay                                          ","Itzhak Perlman",0.99
3,"François                                          ","Tremblay                                          ","Jimi Hendrix",16.830000000000002
3,"François                                          ","Tremblay                                          ","Karsh Kale",0.99
3,"François                                          ","Tremblay                                          ","Kiss",0.99
3,"François                                          ","Tremblay                                          ","Led Zeppelin",1.98
3,"François                                          ","Tremblay                                          ","Legião Urbana",0.99
3,"François                                          ","Tremblay                                          ","Metallica",1.98
3,"François                                          ","Tremblay                                          ","Nirvana",0.99
3,"François                                          ","Tremblay                                          ","Pearl Jam",0.99
3,"François                                          ","Tremblay                                          ","Pink Floyd",0.99
3,"François                                          ","Tremblay                                          ","Queen",17.82
3,"François                                          ","Tremblay                                          ","Red Hot Chili Peppers",1.98
3,"François                                          ","Tremblay                                          ","Santana",0.99
3,"François                                          ","Tremblay                                          ","Soundgarden",1.98
3,"François                                          ","Tremblay                                          ","Spyro Gyra",0.99
3,"François                                          ","Tremblay                                          ","The Black Crowes",1.98
3,"François                                          ","Tremblay                                          ","The Rolling Stones",0.99
3,"François                                          ","Tremblay                                          ","The Who",19.799999999999997
3,"François                                          ","Tremblay                                          ","Velvet Revolver",0.99
4,"Bjørn                                             ","Hansen                                            ","Alice In Chains",0.99
4,"Bjørn                                             ","Hansen                                            ","Amy Winehouse",0.99
4,"Bjørn                                             ","Hansen                                            ","Black Sabbath",1.98
4,"Bjørn                                             ","Hansen                                            ","Body Count",0.99
4,"Bjørn                                             ","Hansen                                            ","Cake",0.99
4,"Bjørn                                             ","Hansen                                            ","Deep Purple",0.99
4,"Bjørn                                             ","Hansen                                            ","Def Leppard",2.9699999999999998
4,"Bjørn                                             ","Hansen                                            ","Eric Clapton",0.99
4,"Bjørn                                             ","Hansen                                            ","Foo Fighters",0.99
4,"Bjørn                                             ","Hansen                                            ","Green Day",2.9699999999999998
4,"Bjørn                                             ","Hansen                                            ","Guns N' Roses",11.88
4,"Bjørn                                             ","Hansen                                            ","Iron Maiden",1.98
4,"Bjørn                                             ","Hansen                                            ","Jamiroquai",0.99
4,"Bjørn                                             ","Hansen                                            ","JET",2.9699999999999998
4,"Bjørn                                             ","Hansen                                            ","Jorge Ben",0.99
4,"Bjørn                                             ","Hansen                                            ","Metallica",10.89
4,"Bjørn                                             ","Hansen                                            ","Miles Davis",0.99
4,"Bjørn                                             ","Hansen                                            ","Nirvana",1.98
4,"Bjørn                                             ","Hansen                                            ","Pearl Jam",0.99
4,"Bjørn                                             ","Hansen                                            ","Pink Floyd",0.99
4,"Bjørn                                             ","Hansen                                            ","Red Hot Chili Peppers",0.99
4,"Bjørn                                             ","Hansen                                            ","Scorpions",0.99
4,"Bjørn                                             ","Hansen                                            ","System Of A Down",3.96
4,"Bjørn                                             ","Hansen                                            ","The Clash",0.99
4,"Bjørn                                             ","Hansen                                            ","The Doors",10.89
4,"Bjørn                                             ","Hansen                                            ","The Rolling Stones",0.99
4,"Bjørn                                             ","Hansen                                            ","Van Halen",3.96
5,"R                                                 ","Madhav                                            ","AC/DC",1.98
5,"R                                                 ","Madhav                                            ","Aerosmith",0.99
5,"R                                                 ","Madhav                                            ","Amy Winehouse",0.99
5,"R                                                 ","Madhav                                            ","Black Label Society",0.99
5,"R                                                 ","Madhav                                            ","Black Sabbath",0.99
5,"R                                                 ","Madhav                                            ","Caetano Veloso",0.99
5,"R                                                 ","Madhav                                            ","Cake",0.99
5,"R                                                 ","Madhav                                            ","Chico Buarque",0.99
5,"R                                                 ","Madhav                                            ","Chris Cornell",1.98
5,"R                                                 ","Madhav                                            ","Creedence Clearwater Revival",1.98
5,"R                                                 ","Madhav                                            ","Def Leppard",0.99
5,"R                                                 ","Madhav                                            ","Eric Clapton",17.82
5,"R                                                 ","Madhav                                            ","Falamansa",0.99
5,"R                                                 ","Madhav                                            ","Foo Fighters",10.89
5,"R                                                 ","Madhav                                            ","Frank Sinatra",1.98
5,"R                                                 ","Madhav                                            ","Godsmack",1.98
5,"R                                                 ","Madhav                                            ","Green Day",0.99
5,"R                                                 ","Madhav                                            ","Guns N' Roses",1.98
5,"R                                                 ","Madhav                                            ","House Of Pain",0.99
5,"R                                                 ","Madhav                                            ","Iron Maiden",0.99
5,"R                                                 ","Madhav                                            ","James Brown",0.99
5,"R                                                 ","Madhav                                            ","JET",1.98
5,"R                                                 ","Madhav                                            ","Jimi Hendrix",1.98
5,"R                                                 ","Madhav                                            ","Jota Quest",11.88
5,"R                                                 ","Madhav                                            ","Judas Priest",0.99
5,"R                                                 ","Madhav                                            ","Kiss",19.799999999999997
5,"R                                                 ","Madhav                                            ","Led Zeppelin",1.98
5,"R                                                 ","Madhav                                            ","Luciano Pavarotti",0.99
5,"R                                                 ","Madhav                                            ","Marvin Gaye",0.99
5,"R                                                 ","Madhav                                            ","Metallica",0.99
5,"R                                                 ","Madhav                                            ","Miles Davis",0.99
5,"R                                                 ","Madhav                                            ","Motörhead",1.98
5,"R                                                 ","Madhav                                            ","Nirvana",4.95
5,"R                                                 ","Madhav                                            ","Ozzy Osbourne",1.98
5,"R                                                 ","Madhav                                            ","Pearl Jam",0.99
5,"R                                                 ","Madhav                                            ","Pink Floyd",0.99
5,"R                                                 ","Madhav                                            ","Queen",3.96
5,"R                                                 ","Madhav                                            ","R.E.M.",12.870000000000001
